name,male,female,english,hindi,punjabi,bangoli,noise
hindi audio sample 4.wav,1,0,0,1,0,0,0
hindi audio sample 3.wav,1,0,0,1,0,0,0
hindi audio sample 2.wav,1,0,0,1,0,0,0
hindi audio sample 1.wav,1,0,0,1,0,0,0
bangoli audio sample 8.wav,1,0,0,0,0,1,0
bangoli audio sample 5.wav,1,0,0,0,0,1,0
bangoli audio sample 6.wav,1,0,0,0,0,1,0
bangoli audio sample 7.wav,1,0,0,0,0,1,0
bangoli audio sample 12.wav,0,1,0,0,0,1,0
bangoli audio sample 13.wav,0,1,0,0,0,1,0
bangoli audio sample 11.wav,0,1,0,0,0,1,0
bangoli audio sample 10.wav,0,1,0,0,0,1,0
bangoli audio sample 9.wav,0,1,0,0,0,1,0
hindi audio sample 22.wav,0,1,0,1,0,0,0
hindi audio sample 21.wav,0,1,0,1,0,0,0
hindi audio sample 20.wav,0,1,0,1,0,0,0
hindi audio sample 18.wav,0,1,0,1,0,0,0
hindi audio sample 19.wav,0,1,0,1,0,0,0
hindi audio sample 17.wav,0,1,0,1,0,0,0
hindi audio sample 16.wav,0,1,0,1,0,0,0
hindi audio sample 14.wav,0,1,0,1,0,0,0
hindi audio sample 13.wav,0,1,0,1,0,0,0
hindi audio sample 36.wav,1,0,0,1,0,0,0
hindi audio sample 22.wav,1,0,0,1,0,0,0
hindi audio sample 37.wav,1,0,0,1,0,0,0
hindi audio sample 35.wav,1,0,0,1,0,0,0
hindi audio sample 34.wav,1,0,0,1,0,0,0
hindi audio sample 24.wav,1,0,0,1,0,0,0
hindi audio sample 30.wav,1,0,0,1,0,0,0
hindi audio sample 31.wav,1,0,0,1,0,0,0
hindi audio sample 25.wav,1,0,0,1,0,0,0
hindi audio sample 33.wav,1,0,0,1,0,0,0
hindi audio sample 27.wav,1,0,0,1,0,0,0
hindi audio sample 26.wav,1,0,0,1,0,0,0
hindi audio sample 32.wav,1,0,0,1,0,0,0
hindi audio sample 41.wav,1,0,0,1,0,0,0
hindi audio sample 40.wav,1,0,0,1,0,0,0
hindi audio sample 28.wav,1,0,0,1,0,0,0
hindi audio sample 29.wav,1,0,0,1,0,0,0
hindi audio sample 39.wav,1,0,0,1,0,0,0
hindi audio sample 38.wav,1,0,0,1,0,0,0
english audio sample 49.wav,0,1,1,0,0,0,0
english audio sample 48.wav,0,1,1,0,0,0,0
english audio sample 46.wav,0,1,1,0,0,0,0
english audio sample 47.wav,0,1,1,0,0,0,0
english audio sample 51.wav,0,1,1,0,0,0,0
english audio sample 45.wav,0,1,1,0,0,0,0
english audio sample 44.wav,0,1,1,0,0,0,0
english audio sample 50.wav,0,1,1,0,0,0,0
english audio sample 43.wav,0,1,1,0,0,0,0
english audio sample 42.wav,0,1,1,0,0,0,0
english audio sample 58.wav,1,0,1,0,0,0,0
english audio sample 59.wav,1,0,1,0,0,0,0
english audio sample 61.wav,1,0,1,0,0,0,0
english audio sample 60.wav,1,0,1,0,0,0,0
english audio sample 52.wav,1,0,1,0,0,0,0
english audio sample 53.wav,1,0,1,0,0,0,0
english audio sample 54.wav,1,0,1,0,0,0,0
english audio sample 55.wav,1,0,1,0,0,0,0
english audio sample 57.wav,1,0,1,0,0,0,0
english audio sample 56.wav,1,0,1,0,0,0,0
punjabi audio sample 68.wav,0,1,0,0,1,0,0
punjabi audio sample 69.wav,0,1,0,0,1,0,0
punjabi audio sample 62.wav,0,1,0,0,1,0,0
punjabi audio sample 63.wav,0,1,0,0,1,0,0
punjabi audio sample 67.wav,0,1,0,0,1,0,0
punjabi audio sample 66.wav,0,1,0,0,1,0,0
punjabi audio sample 70.wav,0,1,0,0,1,0,0
punjabi audio sample 64.wav,0,1,0,0,1,0,0
punjabi audio sample 65.wav,0,1,0,0,1,0,0
punjabi audio sample 71.wav,0,1,0,0,1,0,0
punjabi audio sample 80.wav,1,0,0,0,1,0,0
punjabi audio sample 81.wav,1,0,0,0,1,0,0
punjabi audio sample 79.wav,1,0,0,0,1,0,0
punjabi audio sample 78.wav,1,0,0,0,1,0,0
punjabi audio sample 75.wav,1,0,0,0,1,0,0
punjabi audio sample 74.wav,1,0,0,0,1,0,0
punjabi audio sample 76.wav,1,0,0,0,1,0,0
punjabi audio sample 77.wav,1,0,0,0,1,0,0
punjabi audio sample 73.wav,1,0,0,0,1,0,0
punjabi audio sample 72.wav,1,0,0,0,1,0,0
bangoli audio sample 88.wav,1,0,0,0,0,1,0
bangoli audio sample 89.wav,1,0,0,0,0,1,0
bangoli audio sample 87.wav,1,0,0,0,0,1,0
bangoli audio sample 93.wav,1,0,0,0,0,1,0
bangoli audio sample 92.wav,1,0,0,0,0,1,0
bangoli audio sample 86.wav,1,0,0,0,0,1,0
bangoli audio sample 90.wav,1,0,0,0,0,1,0
bangoli audio sample 85.wav,1,0,0,0,0,1,0
bangoli audio sample 91.wav,1,0,0,0,0,1,0
bangoli audio sample 95.wav,1,0,0,0,0,1,0
bangoli audio sample 81.wav,1,0,0,0,0,1,0
bangoli audio sample 94.wav,1,0,0,0,0,1,0
bangoli audio sample 82.wav,1,0,0,0,0,1,0
bangoli audio sample 96.wav,1,0,0,0,0,1,0
bangoli audio sample 97.wav,1,0,0,0,0,1,0
bangoli audio sample 83.wav,1,0,0,0,0,1,0
bangoli audio sample 104.wav,0,1,0,0,0,1,0
bangoli audio sample 102.wav,0,1,0,0,0,1,0
bangoli audio sample 103.wav,0,1,0,0,0,1,0
bangoli audio sample 101.wav,0,1,0,0,0,1,0
bangoli audio sample 100.wav,0,1,0,0,0,1,0
bangoli audio sample 99.wav,0,1,0,0,0,1,0
bangoli audio sample 98.wav,0,1,0,0,0,1,0
noise audio sample 108.wav,0,0,0,0,0,0,1
noise audio sample 109.wav,0,0,0,0,0,0,1
noise audio sample 115.wav,0,0,0,0,0,0,1
noise audio sample 114.wav,0,0,0,0,0,0,1
noise audio sample 116.wav,0,0,0,0,0,0,1
noise audio sample 113.wav,0,0,0,0,0,0,1
noise audio sample 107.wav,0,0,0,0,0,0,1
noise audio sample 112.wav,0,0,0,0,0,0,1
noise audio sample 104.wav,0,0,0,0,0,0,1
noise audio sample 110.wav,0,0,0,0,0,0,1
noise audio sample 111.wav,0,0,0,0,0,0,1
noise audio sample 105.wav,0,0,0,0,0,0,1
